is_landslide,dem,slope,twi,landcover,soil_sand,soil_clay,soil_cfvo,rain_annual_norm,rain_monsoon_norm,snow_winter,snow_spring,rain_event_7d,rain_antecedent_30d,rain_max_daily,runoff_event_7d,runoff_antecedent_30d,runoff_max_daily
1,1580.0,22.93665,10.219064,30.0,31.0,32.0,14.0,1146.5375,742.65814,0.82400423,0.9785448,420.66819999999996,255.9206335,281.54004,0.1345005279,0.0320139792,0.04297652
1,2212.0,9.537263,10.804395,10.0,32.0,25.0,13.0,765.84375,315.96613,0.22388187,0.8424382,205.62994500000002,101.3290473,138.75493,0.13397325390000003,0.03647240837000001,0.04339591
1,1057.0,12.865266,10.719804,50.0,38.0,27.0,16.0,1203.1489,692.11633,0.95956784,0.9934732,189.68793,249.32133600000003,189.68793,0.19780578896999998,0.02464473497,0.07197518
1,4204.0,31.450089,9.825924,30.0,42.0,20.0,28.0,178.20674,13.800842,0.09395676,0.21146394,0.7182898200000001,0.0043581077,23.213087,0.00398208763,0.0015976892981,0.015664754
1,711.0,8.369437,11.316299,10.0,38.0,29.0,12.0,1241.775,929.52954,0.9748939,0.99780244,496.67035699999997,311.50185899999997,294.53027,0.115702417,0.021918709050000002,0.040229976
1,3616.0,25.773054,10.237806,50.0,37.0,23.0,22.0,509.86573,215.940125,0.41061576,0.57146537,0.0,0.0,0.0,0.0,0.0,0.0
1,744.0,23.82389,14.383808,10.0,35.0,29.0,16.0,1062.1313,489.96964,0.78974104,0.99265724,371.04601,141.91761518,222.62761,0.08678539297,0.01880653308,0.04363584
1,1430.0,37.920807,9.671925,30.0,37.0,23.0,16.0,1066.1561,455.1636,0.52604026,0.9384524,345.06186,125.4384546,209.96988,0.08862731415,0.01955856953,0.042621158
1,1100.0,27.733734,10.649338,30.0,37.0,23.0,18.0,618.16583,377.90955,0.8658619,0.9824367,367.30136000000005,132.54782899999998,208.67212,0.0561970871,0.025699249670000004,0.048011217
1,959.0,32.922924,10.376334,30.0,35.0,29.0,18.0,862.5936,478.66644,0.7312159,0.9154199,323.95291,155.7467314,193.043,0.121783055,0.036868667259999995,0.040855218
1,946.0,19.420843,10.625415,40.0,37.0,29.0,16.0,1156.8093,793.4502,0.9313868,0.9908983,438.03668700000003,286.4709284,255.40009,0.1588425008,0.03653785355999999,0.06413136
1,2015.0,7.0355825,11.345612,30.0,28.0,29.0,12.0,738.4636,274.73563,0.5780545,0.96208346,169.7419,75.989548,169.7419,0.22379025800000002,0.1566641734,0.058788896
1,397.0,10.177321,10.637485,10.0,35.0,21.0,10.0,1133.586,881.4574,0.9698514,0.9981741,537.98582,289.707111,322.7915,0.045791475400000003,0.007877820711,0.01944454
1,1616.0,21.804916,10.086924,30.0,39.0,22.0,15.0,984.3076,550.5727,0.51371354,0.9486692,356.08429,190.7071333,228.85817,0.10872215439999999,0.03240353551,0.03818085
1,1581.0,3.800498,15.428115,30.0,25.0,26.0,16.0,590.67926,221.27638,0.70918775,0.971203,106.00537399999999,56.961309725,53.298744,0.073850119,0.03146344233000001,0.024560368
1,2029.0,17.57717,9.990759,10.0,27.0,27.0,14.0,750.7938,304.24695,0.17778486,0.8727342,197.811938,92.6342922,139.01718,0.1083049077,0.032571912460000005,0.033866096
1,871.0,28.973316,11.1412735,10.0,35.0,28.0,16.0,1023.8755,486.66187,0.8339767,0.98643744,371.70429,139.4560308,227.82526,0.08420299129999999,0.01897270767,0.040991575
1,1313.0,33.023296,10.159371,30.0,33.0,22.0,16.0,1014.1614,389.99106,0.77848285,0.9513734,302.81515,100.199867,177.76537,0.08310420469,0.020256692269999998,0.03746242
1,455.0,13.68642,10.903484,10.0,35.0,25.0,16.0,1219.6088,931.6552,0.9649848,0.988748,593.1924300000001,297.981787,303.25742,0.0066260801800000005,0.0030570137739999994,0.0023489206
1,896.0,36.276978,11.118553,30.0,37.0,26.0,19.0,941.2546,510.6958,0.72131765,0.9592742,345.760356,170.54500319000002,238.66286,0.09698070180000001,0.027835164860000004,0.036683425
1,1896.0,34.215885,9.33501,30.0,35.0,27.0,17.0,1336.5769,1020.9255,0.6067347,0.9628793,477.23112,342.3641495,267.67645,0.1589738732,0.028968716000000005,0.061417066
1,1616.0,14.320153,11.468362,50.0,23.0,25.0,15.0,607.09283,231.608,0.6570917,0.9765749,101.34406,59.80758666,51.00842,0.07872632224,0.03415590800999999,0.025877614
1,3561.0,22.296034,10.514609,30.0,37.0,23.0,20.0,1340.0387,509.04663,0.016447447,0.11069149,175.41183,153.10917854000002,175.41183,0.2014119164,0.039328171589999995,0.07081308
1,1507.0,18.877886,10.771089,30.0,32.0,26.0,16.0,1709.9744,922.50543,0.8987041,0.98976105,395.5863564,254.99447,393.03476,0.37537407000000006,0.07570272759999999,0.11755668
1,975.0,30.503397,10.43175,30.0,33.0,28.0,18.0,1072.6885,457.00455,0.5506962,0.9435483,346.57252,127.0450635,220.81384,0.09689442759999999,0.02138606008,0.044165023
1,1087.0,31.802092,9.935376,10.0,37.0,28.0,17.0,860.5239,477.49332,0.5902671,0.93617743,320.58635000000004,161.3088182,189.91,0.1280370395,0.038952725679999994,0.043294493
1,1760.0,10.414948,11.313711,50.0,23.0,28.0,13.0,781.4488,295.77255,0.66640466,0.9685768,167.758168,92.0244101,141.17525,0.157129136,0.05861674559999999,0.04317264
1,998.0,32.09721,10.413318,50.0,37.0,28.0,19.0,870.89996,484.93234,0.5411736,0.90319073,325.46169,160.9204562,191.24559,0.1258853454,0.038027316840000006,0.041971505
1,1391.0,25.085527,10.301225,10.0,34.0,22.0,17.0,1162.5502,551.5184,0.48953497,0.94008553,249.07251,169.2183836,249.07251,0.1719410174,0.044265645250000006,0.05971677
1,1085.0,18.700994,10.347674,50.0,38.0,26.0,17.0,785.87976,428.65497,0.91913635,0.99388885,321.11266,156.314222,165.07338,0.1165730637,0.03953352582,0.045842167
1,1329.0,14.656902,11.381807,30.0,35.0,30.0,16.0,1392.8123,768.3101,0.8821936,0.98053885,235.38695,217.63117599999998,235.38695,0.24997376116999998,0.03464004714000001,0.09176078
1,1608.0,5.0628414,12.088733,40.0,20.0,25.0,12.0,649.9578,238.81075,0.7476593,0.97142607,177.560676,66.0608358,136.81245,0.07398545164000002,0.02277823556,0.031156711
1,1631.0,6.273525,11.643821,30.0,21.0,28.0,14.0,596.57214,219.49275,0.7877146,0.9750272,223.1280856,64.71023629999999,157.62436,0.186832615,0.3181034067,0.104599714
1,3868.0,18.28789,10.696684,30.0,47.0,19.0,25.0,271.5011,191.29726,0.7279338,0.8589342,58.194894,29.981771000000002,38.772903,0.000440621495,0.00025126825990000003,0.011661566
1,1488.0,34.889915,9.640354,10.0,34.0,25.0,15.0,1343.8058,1033.4226,0.91030294,0.98514736,479.61173999999994,348.89547519999996,271.29898,0.1474744021,0.025941754839999998,0.056930102
1,1036.0,38.509502,9.376368,10.0,34.0,31.0,17.0,1082.7731,481.1717,0.66802436,0.9707722,361.10486000000003,140.54997350000002,221.04543,0.09907945450000001,0.021518078229999994,0.04304222
1,1201.0,36.964252,10.316093,80.0,32.0,23.0,18.0,588.42694,340.41394,0.7889333,0.9785575,347.19761,114.81853495000001,196.52255,0.05444395430000001,0.02596473067,0.041127793
1,2188.0,7.824111,10.787343,30.0,31.0,31.0,11.0,862.8621,359.6063,0.33846697,0.8910186,215.76313059999998,104.292454,214.64217,0.338965495,0.30544616449999995,0.110131085
1,1152.0,33.740376,9.583026,30.0,36.0,27.0,16.0,1014.8042,482.8486,0.81587076,0.98930585,364.88289,142.9336449,234.02997,0.0825596338,0.019167360300000002,0.03851518
1,2481.0,26.100143,10.842443,30.0,25.0,27.0,19.0,556.68604,209.14256,0.15934731,0.5588292,188.43076,44.103722,172.0016,0.07058952520000002,0.029423329869999994,0.021637723
1,2837.0,29.944492,10.209211,30.0,27.0,25.0,22.0,1679.1975,723.24646,0.10496204,0.4938006,313.29341999999997,189.94288239999997,243.58334,0.414107261,0.18634831910000002,0.14037405
1,1632.0,34.9075,9.462997,30.0,32.0,23.0,15.0,1007.6514,389.1512,0.7233804,0.956432,300.60292000000004,99.41384100000002,170.95558,0.08048819104,0.01951013197,0.037045535
1,1050.0,30.511435,9.503874,10.0,33.0,27.0,17.0,1346.4276,946.8922,0.930037,0.9889173,502.14553,286.5300415,278.96973,0.23711908929999997,0.05769729504,0.085897334
1,469.0,12.767189,11.083235,10.0,38.0,23.0,15.0,1356.2979,1004.3224,0.9765784,0.99650294,483.61753,337.583154,287.22043,0.1837376025,0.03902482106,0.07211622
1,1508.0,26.106604,10.079457,10.0,37.0,23.0,22.0,1146.287,541.41815,0.48994917,0.9357707,248.3824,169.611177,248.3824,0.1713700903,0.04551526532000001,0.05978171
1,1085.0,18.700994,10.347674,50.0,38.0,26.0,17.0,785.87976,428.65497,0.91913635,0.99388885,321.11266,156.314222,165.07338,0.1165730637,0.03953352582,0.045842167
1,980.0,36.119724,9.300512,30.0,35.0,25.0,18.0,1343.0979,957.3213,0.782988,0.9779408,491.19925,299.9736527,251.34375,0.2098332053,0.05233681190999999,0.07751575
1,326.0,4.6554775,11.587701,50.0,42.0,20.0,13.0,1182.766,921.5466,0.9471606,0.99181885,564.20218,313.37101370000005,315.0618,0.10328929225,0.014257166859000001,0.04165528
1,1057.0,12.865266,10.719804,50.0,38.0,27.0,16.0,1203.1489,692.11633,0.95956784,0.9934732,189.68793,249.32133600000003,189.68793,0.19780578896999998,0.02464473497,0.07197518
1,871.0,28.973316,11.1412735,10.0,35.0,28.0,16.0,1023.8755,486.66187,0.8339767,0.98643744,371.70429,139.4560308,227.82526,0.08420299129999999,0.01897270767,0.040991575
1,1488.0,34.889915,9.640354,10.0,34.0,25.0,15.0,1343.8058,1033.4226,0.91030294,0.98514736,479.61173999999994,348.89547519999996,271.29898,0.1474744021,0.025941754839999998,0.056930102
1,1287.0,13.971088,11.756003,40.0,35.0,30.0,16.0,1394.3073,758.55725,0.8719241,0.98180217,231.07152,216.001327,231.07152,0.24611652404999998,0.034836504580000004,0.09099117
1,1789.0,35.810173,9.397479,30.0,38.0,21.0,15.0,1056.6901,445.70917,0.19134371,0.8906954,337.87764,119.82746200000001,194.18773,0.08094396654000001,0.018319251619999997,0.03970463
1,2764.0,21.70996,11.233643,60.0,39.0,24.0,25.0,330.8929,67.13933,0.4321858,0.7635685,39.121343,0.0,43.642387,0.0171558349,0.010724301962,0.015755467
1,1589.0,9.314408,11.933387,80.0,28.0,28.0,14.0,731.5429,292.97363,0.44209275,0.9136805,112.160835,85.689823,112.160835,0.105305359,0.04260811579999999,0.034234807
1,817.0,21.714455,10.649236,10.0,38.0,27.0,17.0,1150.3302,820.1922,0.9651998,0.9938672,436.74223900000004,273.6317326,274.7311,0.12883392040000002,0.02621554853,0.04463504
1,1642.0,18.434996,11.492227,30.0,23.0,25.0,15.0,620.0031,238.34775,0.6094786,0.963303,99.233311,61.37207447,50.874577,0.08116658166,0.03550346396999999,0.026536744
1,1855.0,35.821125,9.410178,30.0,33.0,24.0,16.0,1041.704,411.26004,0.36766484,0.9060113,318.71664,108.694344,201.18428,0.10086354680000001,0.024466626349999993,0.03780654
1,1670.0,9.756519,11.305106,50.0,37.0,23.0,22.0,484.9895,140.16359,0.4287951,0.96316904,54.050228000000004,48.3818188,52.44906,0.06594409951,0.02847616421,0.023444911
1,3513.0,15.1636305,10.883468,30.0,37.0,24.0,20.0,2120.1821,975.1031,0.058424696,0.15516572,444.84911999999997,258.37074,330.37674,0.421792805,0.1456649733,0.14075406
1,1941.0,23.876356,9.865554,30.0,36.0,25.0,14.0,1020.6031,541.00964,0.32755142,0.88590944,354.73466,211.01527170000006,202.70552,0.11726182989999999,0.057669372499999996,0.050802242
