is_flood,dem,slope,twi,landcover,soil_sand,soil_clay,soil_cfvo,rain_annual_norm,rain_monsoon_norm,snow_winter,snow_spring,hand,rain_event_7d,rain_antecedent_30d,rain_max_daily,runoff_event_7d,runoff_antecedent_30d,runoff_max_daily
1,226.0,2.0940273,12.952282,40.0,26.0,29.0,2.0,765.94604,586.8753,0.97633404,0.99995667,2.1197312,269.5845,140.3669,269.5845,0.1272439,0.015760558,0.07888817
1,242.0,2.4444437,12.280329,10.0,39.0,23.0,10.0,866.4037,607.38934,0.98775196,0.99398136,6.711146,1.205008,179.71745,171.64304,0.1719934,0.024279885,0.09103517
1,236.0,1.4756997,13.077417,40.0,38.0,20.0,3.0,959.3622,740.80817,0.99276423,0.9985751,2.9856124,311.92667,223.44751,174.0505,0.13391188,0.024155507,0.08431939
1,351.0,5.789481,13.388243,80.0,36.0,24.0,23.0,1079.163,723.37024,0.944968,0.9964461,8.280246,70.08319,267.43097,81.52136,0.19933976,0.06669793,0.1034351
1,220.0,2.8888915,12.543253,20.0,23.0,33.0,3.0,722.4161,533.0862,0.9710746,1.0,48.329056,168.98256,119.42476,168.98256,0.14067428,0.011992202,0.07617674
1,1977.0,29.987606,9.96288,10.0,31.0,24.0,14.0,2123.9739,1074.8097,0.68968976,0.93258363,617.101,496.38196,232.06703,496.38196,0.3919056,0.17446764,0.14441392
1,1580.0,2.2690375,17.401865,10.0,26.0,24.0,14.0,515.4192,176.78175,0.6996687,0.85205686,0.22606109,134.08261,60.1137,105.42645,0.035255603,0.016543277,0.012717638
1,218.0,1.8619894,12.865233,40.0,29.0,29.0,10.0,827.4925,571.7576,0.9868539,0.9850586,2.7996776,0.0,200.1687,153.52382,0.20672305,0.033134542,0.10214936
1,755.0,15.372003,10.531964,10.0,37.0,27.0,14.0,1300.9454,1009.4081,0.9784937,0.9966921,137.35922,572.2288,348.05527,297.95898,0.08125528,0.014253761,0.030439995
1,312.0,10.301571,11.090277,10.0,31.0,23.0,12.0,1063.8854,737.55597,0.9721522,0.9935065,27.635355,88.797646,233.63594,91.41736,0.11983783,0.028786583,0.063674815
1,272.0,2.4553604,12.499005,40.0,37.0,21.0,5.0,956.1394,704.01764,0.9795868,0.9969351,9.136314,204.49011,203.21117,204.49011,0.13083364,0.021084186,0.08300329
1,1762.0,32.256363,9.512645,10.0,31.0,21.0,15.0,1822.7021,887.0883,0.47233444,0.9233929,352.35678,526.45984,204.48073,378.49332,0.3733441,0.21319747,0.12620552
1,261.0,1.2268518,13.1815195,40.0,34.0,22.0,5.0,1108.4528,856.7452,0.9764519,0.9960272,8.198839,437.41177,288.50372,238.99715,0.2051336,0.03191412,0.108204685
1,597.0,23.151127,9.792179,30.0,29.0,20.0,18.0,1115.175,775.7554,0.96876353,0.98853856,222.3406,150.32626,205.11255,147.01128,0.07363936,0.013476115,0.033234533
1,0.0,0.0,22.79617,0.0,21.0,32.0,2.0,742.8513,576.7215,0.5238915,0.5933692,0.032012656,273.97018,129.4931,273.97018,0.12878944,0.015883956,0.079479605
1,1242.0,32.492638,9.699433,10.0,29.0,33.0,15.0,1421.8092,934.4814,0.73026973,0.9916282,633.3501,608.5001,248.97429,390.94647,0.3325719,0.0951422,0.119602896
1,214.0,2.3153915,13.367554,80.0,32.0,30.0,2.0,693.8399,494.4747,0.9725677,0.9985335,1.1433346,2.124837,95.50329,227.81859,0.1737501,0.014903798,0.08658651
1,1583.0,2.1024902,17.957874,50.0,18.0,27.0,12.0,720.2097,199.2857,0.56614643,0.8876281,0.19877307,103.23984,84.02958,70.90359,0.14332803,0.14116752,0.047212265
1,513.0,8.528078,10.826005,40.0,36.0,24.0,23.0,1239.2886,829.21796,0.9735861,0.984513,74.640976,0.0,306.98114,126.428535,0.16606452,0.06099226,0.08140085
1,223.0,2.0205817,12.8543215,10.0,25.0,29.0,4.0,778.2178,543.8254,0.98942846,0.9996042,1.9319761,0.0,157.19078,191.75032,0.19079383,0.020638186,0.0908481
1,1207.0,29.771276,10.167192,10.0,31.0,30.0,14.0,1269.5492,893.0308,0.5730035,0.94764537,140.7893,455.7577,284.50528,281.48715,0.178703,0.03668182,0.068910554
1,1575.0,1.938439,18.682165,30.0,23.0,23.0,12.0,529.64355,181.3221,0.28128186,0.20211822,0.032387212,121.52081,66.69649,121.52081,0.02921865,0.015128991,0.016199991
1,1582.0,0.97511715,18.086168,80.0,24.0,28.0,16.0,685.8399,200.40192,0.5729774,0.5513642,0.2644353,138.02817,79.41615,106.04217,0.09864377,0.076590955,0.02753759
1,745.0,5.3573728,11.525871,40.0,39.0,27.0,14.0,1194.1692,872.79407,0.9717236,0.9963227,60.745277,451.5589,288.96494,265.69025,0.12301858,0.024709499,0.04244302
1,1263.0,36.817993,9.456514,10.0,31.0,31.0,18.0,1323.9617,938.1754,0.5379573,0.9755452,747.0821,482.99286,286.9697,241.49643,0.21589942,0.056043003,0.07665012
1,471.0,11.379332,10.657268,10.0,38.0,23.0,12.0,1170.1865,905.31415,0.97448677,0.9956505,41.86869,593.1599,294.43533,350.58005,0.04273075,0.006974915,0.016326983
1,225.0,2.073776,13.1987915,40.0,36.0,28.0,2.0,823.423,580.1144,0.9972787,0.9999923,1.5339919,0.0,153.5757,209.32541,0.18071409,0.02005763,0.091594025
1,236.0,1.61277,12.805851,40.0,36.0,20.0,3.0,960.46,743.38464,0.97644,0.9959168,110.132965,315.93307,210.03978,169.19495,0.12943003,0.022807654,0.081272334
1,251.0,1.2178861,13.133115,10.0,32.0,25.0,4.0,1083.4088,839.6178,0.9874358,1.0,2.2316167,412.7415,283.62872,230.26564,0.2016084,0.0323241,0.11056747
1,227.0,2.3375325,12.833729,50.0,28.0,27.0,3.0,774.45703,590.87775,0.9837474,0.99968284,3.6117013,268.05576,143.96718,268.05576,0.12700576,0.015603531,0.078501485
1,241.0,1.1867191,13.343124,40.0,37.0,19.0,3.0,1023.0646,793.51245,0.9791833,0.99785054,1.1265323,343.65338,235.47432,175.77562,0.14917278,0.02497612,0.089864075
1,912.0,16.793543,10.356357,10.0,34.0,28.0,15.0,1240.8986,887.69226,0.97932565,0.99745834,112.82165,536.4302,245.16948,454.26834,0.25203636,0.07541409,0.07969338
1,51.0,6.7098904,17.21354,0.0,29.0,25.0,2.0,734.3003,564.7878,0.5238915,0.5933692,29.091324,254.47693,129.49585,254.47693,0.12973295,0.013339702,0.077372864
